ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse0,Corpse1,MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,Flags0,Flags1
0,Azeroth,Eastern Kingdoms,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,17,804940,775971,159399517,262160
1,Kalimdor,Kalimdor,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,17,804935,782779,159399517,262160
13,test,Art Team Map,,,,,0,0,2,0,0,3817,0,-1,-1,-1,0,1,-1,0,0,0,857697,1555,263192
25,ScottTest,Scott Test,,,,,0,0,2,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,863335,1555,262152
30,PVPZone01,Alterac Valley,"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).",Slay the enemy leader,"- Capture enemy towers and bunkers
- Slay the enemy leader
- Reduce the enemy reinforcements to 0",0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,1553,786440
33,Shadowfang,Shadowfang Keep,,,,,-230.989,1571.57,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,1565,262152
34,StormwindJail,Stormwind Stockade,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,1553,262152
35,StormwindPrison,<unused>StormwindPrison,,,,,-8762.477,848.0491,2,0,0,717,23,-1,-1,-1,0,1,0,0,0,0,870849,1555,262152
36,DeadminesInstance,Deadmines,,,,,-11207.8,1681.15,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,1553,262152
37,PVPZone02,Azshara Crater,Crush the Alliance!,Defend yourself from the onslaught of the Horde!,,,0,0,1,0,0,0,25,-1,-1,-1,0,1,-1,0,0,0,861092,1555,262152
42,Collin,Collin's Test,,,,,0,0,2,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,863984,1555,262152
43,WailingCaverns,Wailing Caverns,,,,,-751.1312,-2209.24,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,1553,262152
44,Monastery,<unused> Monastery,,,,,2892.413,-811.2413,2,1,0,0,42,-1,-1,-1,0,1,0,10,0,0,865519,1555,262152
47,RazorfenKraulInstance,Razorfen Kraul,,,,,-4459.449,-1660.212,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,1553,262152
48,Blackfathom,Blackfathom Deeps,,,,,4249.121,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,1553,262152
70,Uldaman,Uldaman,,,,,-6060.182,-2954.997,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,1553,262152
90,GnomeragonInstance,Gnomeregan,,,,,-5162.662,931.5988,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,1553,262152
109,SunkenTemple,Sunken Temple,,,,,-10291.7,-3987.63,2,1,0,1477,191,-1,-1,-1,0,1,0,10,0,0,791166,1553,262152
129,RazorfenDowns,Razorfen Downs,,,,,-4662.883,-2535.872,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,1553,262152
169,EmeraldDream,Emerald Dream,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,1553,262152
189,MonasteryInstances,Scarlet Monastery of Old,,,,,2892.235,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,0,0,788662,1553,262152
209,TanarisInstance,Zul'Farrak,,,,,-6790.577,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,1553,262152
229,BlackRockSpire,Lower Blackrock Spire,,,,,-7522.527,-1233.042,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,1537,262152
230,BlackrockDepths,Blackrock Depths,,,,,-7178.095,-928.6395,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,1553,262152
249,OnyxiaLairInstance,Onyxia's Lair,,,,,-4753.312,-3752.421,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,34305,262152
269,CavernsOfTime,Opening of the Dark Portal,,,,,-8750.827,-4193.513,1,1,1,0,212,-1,-1,-1,0,1,1,5,0,0,829736,1553,262152
289,SchoolofNecromancy,Scholomance OLD,,,,,1274.781,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,1553,262152
309,Zul'gurub,Ancient Zul'Gurub,,,,,-11916.06,-1224.577,1,1,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,525841,262152
329,Stratholme,Stratholme,,,,,3392.317,-3378.483,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,1553,262152
